id;name;href;status;description;billing_account_number;customer_id;currency_code
1;parallelism circuit Branding;Tenge workforce transmitter;copying Usability Rican;bus Chips;29964;45908;ZAR
2;Tuna B2C Coordinator;Orchestrator hard;Synergized Account Investment;Innovative;22817;87174;LSL
3;Principal Computer Nebraska;Associate Steel;Bedfordshire Track;Berkshire Stream;40631;61214;XAU
4;synthesize azure Internal;card;port Ergonomic Jamahiriya;Optimization;90601;30572;XAU
5;Frozen;salmon;withdrawal Dynamic violet;Agent Corporate;445;13691;BTN
6;Rapid Clothing;Soap seize;Loan eco-centric Carolina;Points Steel primary;74671;66802;PKR
7;Maine deposit;Games compressing Shoes;Incredible orchestrate;Bedfordshire input;82613;73885;SZL
8;Plastic Pants Franc;Berkshire deposit Cambridgeshire;Borders;upward-trending;67479;16372;LBP
9;Soft synergize compressing;Home Road Towels;Generic neutral;Networked Rial Architect;68261;23465;MUR
10;Right-sized Cotton cross-media;Fresh Drives;Plastic;Shoes back-end;26330;88362;SLL
